,sale_month_year,building_class_category,sale_price
0,2003-01-01,ONE FAMILY HOMES,357487.4891774892
1,2003-02-01,ONE FAMILY HOMES,377048.47208121826
2,2003-03-01,ONE FAMILY HOMES,369284.4342105263
3,2003-04-01,ONE FAMILY HOMES,364788.9326923077
4,2003-05-01,ONE FAMILY HOMES,373788.79475982534
5,2003-06-01,ONE FAMILY HOMES,424827.2832618026
6,2003-07-01,ONE FAMILY HOMES,408245.462962963
7,2003-08-01,ONE FAMILY HOMES,415110.14170040487
8,2003-09-01,ONE FAMILY HOMES,457533.30821917806
9,2003-10-01,ONE FAMILY HOMES,374165.6948051948
10,2003-11-01,ONE FAMILY HOMES,397798.5100401606
11,2003-12-01,ONE FAMILY HOMES,428400.4747081712
12,2004-01-01,ONE FAMILY HOMES,409478.73577235773
13,2004-02-01,ONE FAMILY HOMES,375546.6031746032
14,2004-03-01,ONE FAMILY HOMES,444746.4056939502
15,2004-04-01,ONE FAMILY HOMES,434209.86029411765
16,2004-05-01,ONE FAMILY HOMES,444337.40293040295
17,2004-06-01,ONE FAMILY HOMES,470681.53115727
18,2004-07-01,ONE FAMILY HOMES,486611.35795454547
19,2004-08-01,ONE FAMILY HOMES,442576.1149068323
20,2004-09-01,ONE FAMILY HOMES,442395.6232394366
21,2004-10-01,ONE FAMILY HOMES,465133.1703703704
22,2004-11-01,ONE FAMILY HOMES,447395.5270758123
23,2004-12-01,ONE FAMILY HOMES,474210.1386138614
24,2005-01-01,ONE FAMILY HOMES,464266.3665480427
25,2005-02-01,ONE FAMILY HOMES,490351.2
26,2005-03-01,ONE FAMILY HOMES,547976.8936170213
27,2005-04-01,ONE FAMILY HOMES,518310.3031496063
28,2005-05-01,ONE FAMILY HOMES,510659.3515625
29,2005-06-01,ONE FAMILY HOMES,526565.3344594594
30,2005-07-01,ONE FAMILY HOMES,558532.3055555555
31,2005-08-01,ONE FAMILY HOMES,549480.1122112211
32,2005-09-01,ONE FAMILY HOMES,589154.7927272727
33,2005-10-01,ONE FAMILY HOMES,510156.8971962617
34,2005-11-01,ONE FAMILY HOMES,560134.7955390335
35,2005-12-01,ONE FAMILY HOMES,532549.1792828685
36,2006-01-01,ONE FAMILY HOMES,560380.0047169811
37,2006-02-01,ONE FAMILY HOMES,607203.2989130435
38,2006-03-01,ONE FAMILY HOMES,577138.275
39,2006-04-01,ONE FAMILY HOMES,542104.5677083334
40,2006-05-01,ONE FAMILY HOMES,584958.1572052402
41,2006-06-01,ONE FAMILY HOMES,567727.0260869565
42,2006-07-01,ONE FAMILY HOMES,588049.3034825871
43,2006-08-01,ONE FAMILY HOMES,567656.6618705036
44,2006-09-01,ONE FAMILY HOMES,554719.9954337899
45,2006-10-01,ONE FAMILY HOMES,590594.3112033195
46,2006-11-01,ONE FAMILY HOMES,553715.4312796209
47,2006-12-01,ONE FAMILY HOMES,552787.0
48,2007-01-01,ONE FAMILY HOMES,615871.3155339806
49,2007-02-01,ONE FAMILY HOMES,607219.1186440678
50,2007-03-01,ONE FAMILY HOMES,625698.3113207547
51,2007-04-01,ONE FAMILY HOMES,615271.7325581395
52,2007-05-01,ONE FAMILY HOMES,648787.6084656084
53,2007-06-01,ONE FAMILY HOMES,645749.9030837005
54,2007-07-01,ONE FAMILY HOMES,619838.2039800995
55,2007-08-01,ONE FAMILY HOMES,706454.4908256881
56,2007-09-01,ONE FAMILY HOMES,619615.2517482517
57,2007-10-01,ONE FAMILY HOMES,722657.1770833334
58,2007-11-01,ONE FAMILY HOMES,618158.8053691275
59,2007-12-01,ONE FAMILY HOMES,610719.3361344538
60,2008-01-01,ONE FAMILY HOMES,654169.4642857143
61,2008-02-01,ONE FAMILY HOMES,685904.9838709678
62,2008-03-01,ONE FAMILY HOMES,579148.905982906
63,2008-04-01,ONE FAMILY HOMES,590050.3970588235
64,2008-05-01,ONE FAMILY HOMES,622967.2333333333
65,2008-06-01,ONE FAMILY HOMES,615946.7777777778
66,2008-07-01,ONE FAMILY HOMES,622670.7671232877
67,2008-08-01,ONE FAMILY HOMES,663117.0434782609
68,2008-09-01,ONE FAMILY HOMES,640933.5882352941
69,2008-10-01,ONE FAMILY HOMES,516966.13675213675
70,2008-11-01,ONE FAMILY HOMES,677279.1326530612
71,2008-12-01,ONE FAMILY HOMES,669430.1156462585
72,2009-01-01,ONE FAMILY HOMES,714498.098901099
73,2009-02-01,ONE FAMILY HOMES,634810.2736842105
74,2009-03-01,ONE FAMILY HOMES,512872.8181818182
75,2009-04-01,ONE FAMILY HOMES,504522.93684210523
76,2009-05-01,ONE FAMILY HOMES,510503.57954545453
77,2009-06-01,ONE FAMILY HOMES,615213.1260504202
78,2009-07-01,ONE FAMILY HOMES,535003.792
79,2009-08-01,ONE FAMILY HOMES,493674.84137931035
80,2009-09-01,ONE FAMILY HOMES,703116.2232142857
81,2009-10-01,ONE FAMILY HOMES,564445.0465116279
82,2009-11-01,ONE FAMILY HOMES,585169.4925373135
83,2009-12-01,ONE FAMILY HOMES,548185.7266666667
84,2010-01-01,ONE FAMILY HOMES,645654.0839694657
85,2010-02-01,ONE FAMILY HOMES,590357.3727272727
86,2010-03-01,ONE FAMILY HOMES,611728.8834951456
87,2010-04-01,ONE FAMILY HOMES,683059.850877193
88,2010-05-01,ONE FAMILY HOMES,554552.7264150943
89,2010-06-01,ONE FAMILY HOMES,635752.7673267326
90,2010-07-01,ONE FAMILY HOMES,659875.8867924528
91,2010-08-01,ONE FAMILY HOMES,649087.2700729927
92,2010-09-01,ONE FAMILY HOMES,574566.2125984252
