,sale_month_year,building_class_category,sale_price
0,2003-01-01,THREE FAMILY HOMES,401962.5813953488
1,2003-02-01,THREE FAMILY HOMES,406463.776
2,2003-03-01,THREE FAMILY HOMES,406964.46202531643
3,2003-04-01,THREE FAMILY HOMES,406748.68253968254
4,2003-05-01,THREE FAMILY HOMES,422461.63333333336
5,2003-06-01,THREE FAMILY HOMES,488011.4099378882
6,2003-07-01,THREE FAMILY HOMES,489992.5833333333
7,2003-08-01,THREE FAMILY HOMES,459309.90410958906
8,2003-09-01,THREE FAMILY HOMES,474837.1081081081
9,2003-10-01,THREE FAMILY HOMES,438175.23668639053
10,2003-11-01,THREE FAMILY HOMES,481802.6666666667
11,2003-12-01,THREE FAMILY HOMES,486068.1191709844
12,2004-01-01,THREE FAMILY HOMES,501972.0506329114
13,2004-02-01,THREE FAMILY HOMES,476001.3288590604
14,2004-03-01,THREE FAMILY HOMES,486922.30481283425
15,2004-04-01,THREE FAMILY HOMES,513903.8219178082
16,2004-05-01,THREE FAMILY HOMES,506403.0117647059
17,2004-06-01,THREE FAMILY HOMES,547615.0463917525
18,2004-07-01,THREE FAMILY HOMES,519636.6457142857
19,2004-08-01,THREE FAMILY HOMES,564648.4235294118
20,2004-09-01,THREE FAMILY HOMES,533434.5209580838
21,2004-10-01,THREE FAMILY HOMES,529076.2771084338
22,2004-11-01,THREE FAMILY HOMES,541895.3450292398
23,2004-12-01,THREE FAMILY HOMES,593197.9894736842
24,2005-01-01,THREE FAMILY HOMES,585078.8802395209
25,2005-02-01,THREE FAMILY HOMES,573432.1232876712
26,2005-03-01,THREE FAMILY HOMES,600934.318918919
27,2005-04-01,THREE FAMILY HOMES,574571.4023668639
28,2005-05-01,THREE FAMILY HOMES,617296.7675675675
29,2005-06-01,THREE FAMILY HOMES,637725.0376344086
30,2005-07-01,THREE FAMILY HOMES,686072.3901098901
31,2005-08-01,THREE FAMILY HOMES,675413.424390244
32,2005-09-01,THREE FAMILY HOMES,647233.1850220264
33,2005-10-01,THREE FAMILY HOMES,635216.6238095238
34,2005-11-01,THREE FAMILY HOMES,650353.3888888889
35,2005-12-01,THREE FAMILY HOMES,654769.3867403315
36,2006-01-01,THREE FAMILY HOMES,650014.7791411043
37,2006-02-01,THREE FAMILY HOMES,702580.6068965517
38,2006-03-01,THREE FAMILY HOMES,672828.2633928572
39,2006-04-01,THREE FAMILY HOMES,665533.4666666667
40,2006-05-01,THREE FAMILY HOMES,688666.321888412
