,sale_month_year,building_class_category,sale_price
0,2003-01-01,TWO FAMILY HOMES,379106.45990566036
1,2003-02-01,TWO FAMILY HOMES,386650.7432098765
2,2003-03-01,TWO FAMILY HOMES,357614.5062656642
3,2003-04-01,TWO FAMILY HOMES,360264.1167883212
4,2003-05-01,TWO FAMILY HOMES,370462.4918032787
5,2003-06-01,TWO FAMILY HOMES,389191.0085653105
6,2003-07-01,TWO FAMILY HOMES,418924.25238095236
7,2003-08-01,TWO FAMILY HOMES,403805.8193384224
8,2003-09-01,TWO FAMILY HOMES,441664.8625498008
9,2003-10-01,TWO FAMILY HOMES,418637.59369202226
10,2003-11-01,TWO FAMILY HOMES,428624.9909090909
11,2003-12-01,TWO FAMILY HOMES,445547.3319838057
12,2004-01-01,TWO FAMILY HOMES,429882.57601713063
13,2004-02-01,TWO FAMILY HOMES,447311.1487414188
14,2004-03-01,TWO FAMILY HOMES,436703.396
15,2004-04-01,TWO FAMILY HOMES,421011.4248366013
16,2004-05-01,TWO FAMILY HOMES,448780.9151138716
17,2004-06-01,TWO FAMILY HOMES,474245.79483037157
18,2004-07-01,TWO FAMILY HOMES,475287.3489208633
19,2004-08-01,TWO FAMILY HOMES,481114.7094972067
20,2004-09-01,TWO FAMILY HOMES,473516.87704918033
21,2004-10-01,TWO FAMILY HOMES,475963.54644808744
22,2004-11-01,TWO FAMILY HOMES,475907.97003745317
23,2004-12-01,TWO FAMILY HOMES,500749.1666666667
24,2005-01-01,TWO FAMILY HOMES,503324.8775894539
25,2005-02-01,TWO FAMILY HOMES,540717.1385281385
26,2005-03-01,TWO FAMILY HOMES,518146.34069981583
27,2005-04-01,TWO FAMILY HOMES,520377.8852140078
28,2005-05-01,TWO FAMILY HOMES,573376.6458333334
29,2005-06-01,TWO FAMILY HOMES,549975.4054054054
30,2005-07-01,TWO FAMILY HOMES,567895.1604696673
31,2005-08-01,TWO FAMILY HOMES,580813.6647834275
32,2005-09-01,TWO FAMILY HOMES,579841.7093235832
33,2005-10-01,TWO FAMILY HOMES,579270.8127753304
34,2005-11-01,TWO FAMILY HOMES,587321.076433121
35,2005-12-01,TWO FAMILY HOMES,561214.6600877193
36,2006-01-01,TWO FAMILY HOMES,601494.6380208334
37,2006-02-01,TWO FAMILY HOMES,593282.6101265823
38,2006-03-01,TWO FAMILY HOMES,584081.447368421
39,2006-04-01,TWO FAMILY HOMES,619620.5367647059
40,2006-05-01,TWO FAMILY HOMES,597945.2215320911
41,2006-06-01,TWO FAMILY HOMES,637051.2957746478
42,2006-07-01,TWO FAMILY HOMES,641579.9382978723
43,2006-08-01,TWO FAMILY HOMES,610925.7027027027
44,2006-09-01,TWO FAMILY HOMES,626049.8144104803
45,2006-10-01,TWO FAMILY HOMES,660502.4471910113
46,2006-11-01,TWO FAMILY HOMES,607025.3648648649
47,2006-12-01,TWO FAMILY HOMES,615188.5792207792
48,2007-01-01,TWO FAMILY HOMES,654145.3358208955
49,2007-02-01,TWO FAMILY HOMES,606077.0893371758
50,2007-03-01,TWO FAMILY HOMES,674567.8309859155
51,2007-04-01,TWO FAMILY HOMES,674992.4104938272
52,2007-05-01,TWO FAMILY HOMES,669734.5668789808
53,2007-06-01,TWO FAMILY HOMES,666094.1123919309
54,2007-07-01,TWO FAMILY HOMES,708354.030120482
55,2007-08-01,TWO FAMILY HOMES,684408.2713567839
56,2007-09-01,TWO FAMILY HOMES,722128.4340425532
57,2007-10-01,TWO FAMILY HOMES,649874.143812709
58,2007-11-01,TWO FAMILY HOMES,668576.7472118959
59,2007-12-01,TWO FAMILY HOMES,641319.7167381974
60,2008-01-01,TWO FAMILY HOMES,660523.3531598513
61,2008-02-01,TWO FAMILY HOMES,664449.8636363636
62,2008-03-01,TWO FAMILY HOMES,650720.009090909
63,2008-04-01,TWO FAMILY HOMES,639108.6347826087
64,2008-05-01,TWO FAMILY HOMES,594213.0168776371
65,2008-06-01,TWO FAMILY HOMES,651413.2390438247
66,2008-07-01,TWO FAMILY HOMES,627545.564
67,2008-08-01,TWO FAMILY HOMES,683081.5138888889
68,2008-09-01,TWO FAMILY HOMES,606744.6653386455
69,2008-10-01,TWO FAMILY HOMES,660929.3665338645
70,2008-11-01,TWO FAMILY HOMES,608778.4886363636
71,2008-12-01,TWO FAMILY HOMES,564987.8862559241
72,2009-01-01,TWO FAMILY HOMES,634613.0895522388
73,2009-02-01,TWO FAMILY HOMES,556491.5655172414
74,2009-03-01,TWO FAMILY HOMES,531470.7721518987
75,2009-04-01,TWO FAMILY HOMES,526777.2967741935
76,2009-05-01,TWO FAMILY HOMES,581645.0497237568
77,2009-06-01,TWO FAMILY HOMES,557392.7644230769
78,2009-07-01,TWO FAMILY HOMES,611320.1
79,2009-08-01,TWO FAMILY HOMES,620783.7888446215
